x,y,z,r,g,b,distance_to_cam,class,class_r,class_g,class_b,frame_index,depth_uncertainty
-0.04248046875,-0.01904296875,0.07385047340090937,129,160,128,0.0738382,18,161,153,128,0,0.0
-0.04189453125,-0.026660156249999997,0.07386629891025254,94,99,65,0.07386581,6,224,118,119,0,0.0
-0.04189453125,-0.026074218749999996,0.07387038849151487,100,106,69,0.07386581,6,224,118,119,0,0.0
-0.04189453125,-0.025488281249999998,0.07387301924183759,80,86,56,0.07386581,6,224,118,119,0,0.0
-0.04189453125,-0.024902343749999997,0.07387634200696284,110,120,93,0.07386581,6,224,118,119,0,0.0
-0.04189453125,-0.02431640625,0.07387859828314329,81,95,65,0.07386581,6,224,118,119,0,0.0
-0.04189453125,-0.023730468749999997,0.07387913580543164,121,138,108,0.073856525,18,161,153,128,0,0.0
-0.04189453125,-0.023144531249999996,0.07388121156841068,105,129,98,0.073856525,18,161,153,128,0,0.0
-0.04189453125,-0.022558593749999998,0.07387861688689233,139,169,135,0.073856525,18,161,153,128,0,0.0
-0.04189453125,-0.02138671875,0.0738729060665988,125,151,123,0.073856525,18,161,153,128,0,0.0
-0.04189453125,-0.020800781249999997,0.0738677210786902,100,126,97,0.0738382,18,161,153,128,0,0.0
-0.04189453125,-0.020214843749999996,0.07386206630999032,117,148,117,0.0738382,18,161,153,128,0,0.0
-0.04189453125,-0.019628906249999998,0.07385683595464308,111,144,113,0.0738382,18,161,153,128,0,0.0
-0.04189453125,-0.01904296875,0.0738531588377229,120,153,122,0.0738382,18,161,153,128,0,0.0
-0.04130859375,-0.026660156249999997,0.07386960541052452,99,109,83,0.07386581,6,224,118,119,0,0.0
-0.04130859375,-0.026074218749999996,0.07387321797663557,107,117,86,0.07386581,6,224,118,119,0,0.0
-0.04130859375,-0.025488281249999998,0.07387561583825918,74,84,58,0.07386581,6,224,118,119,0,0.0
-0.04130859375,-0.024902343749999997,0.07387864027393427,92,110,84,0.07386581,6,224,118,119,0,0.0
-0.04130859375,-0.02431640625,0.073880645574504,104,128,101,0.07386581,6,224,118,119,0,0.0
-0.04130859375,-0.023730468749999997,0.07388107636241638,92,114,87,0.07386964,18,161,153,128,0,0.0
-0.04130859375,-0.023144531249999996,0.07388335440749962,88,108,83,0.07386964,18,161,153,128,0,0.0
-0.04130859375,-0.022558593749999998,0.07388164449658158,109,135,106,0.07386964,18,161,153,128,0,0.0
